cod_cidade;cidade
110001;Alta Floresta D'Oeste
110037;Alto Alegre dos Parecis
110040;Alto Paraíso
110034;Alvorada D'Oeste
110002;Ariquemes
110045;Buritis
110003;Cabixi
110060;Cacaulândia
110004;Cacoal
110070;Campo Novo de Rondônia
110080;Candeias do Jamari
110090;Castanheiras
110005;Cerejeiras
110092;Chupinguaia
110006;Colorado do Oeste
110007;Corumbiara
110008;Costa Marques
110094;Cujubim
110009;Espigão D'Oeste
110100;Governador Jorge Teixeira
110010;Guajará-Mirim
110110;Itapuã do Oeste
110011;Jaru
110012;Ji-Paraná
110013;Machadinho D'Oeste
110120;Ministro Andreazza
110130;Mirante da Serra
110140;Monte Negro
110014;Nova Brasilândia D'Oeste
110033;Nova Mamoré
110143;Nova União
110050;Novo Horizonte do Oeste
110015;Ouro Preto do Oeste
110145;Parecis
110018;Pimenta Bueno
110146;Pimenteiras do Oeste
110020;Porto Velho
110025;Presidente Médici
110147;Primavera de Rondônia
110026;Rio Crespo
110028;Rolim de Moura
110029;Santa Luzia D'Oeste
110148;São Felipe D'Oeste
110149;São Francisco do Guaporé
110032;São Miguel do Guaporé
110150;Seringueiras
110155;Teixeirópolis
110160;Theobroma
110170;Urupá
110175;Vale do Anari
110180;Vale do Paraíso
110030;Vilhena
