cod_cidade;cidade
130002;Alvarães
130006;Amaturá
130008;Anamã
130010;Anori
130014;Apuí
130020;Atalaia do Norte
130030;Autazes
130040;Barcelos
130050;Barreirinha
130060;Benjamin Constant
130063;Beruri
130068;Boa Vista do Ramos
130070;Boca do Acre
130080;Borba
130083;Caapiranga
130090;Canutama
130100;Carauari
130110;Careiro
130115;Careiro da Várzea
130120;Coari
130130;Codajás
130140;Eirunepé
130150;Envira
130160;Fonte Boa
130165;Guajará
130170;Humaitá
130180;Ipixuna
130185;Iranduba
130190;Itacoatiara
130195;Itamarati
130200;Itapiranga
130210;Japurá
130220;Juruá
130230;Jutaí
130240;Lábrea
130250;Manacapuru
130255;Manaquiri
130260;Manaus
130270;Manicoré
130280;Maraã
130290;Maués
130300;Nhamundá
130310;Nova Olinda do Norte
130320;Novo Airão
130330;Novo Aripuanã
130340;Parintins
130350;Pauini
130353;Presidente Figueiredo
130356;Rio Preto da Eva
130360;Santa Isabel do Rio Negro
130370;Santo Antônio do Içá
130380;São Gabriel da Cachoeira
130390;São Paulo de Olivença
130395;São Sebastião do Uatumã
130400;Silves
130406;Tabatinga
130410;Tapauá
130420;Tefé
130423;Tonantins
130426;Uarini
130430;Urucará
130440;Urucurituba
