cod_cidade;cidade
150010;Abaetetuba
150013;Abel Figueiredo
150020;Acará
150030;Afuá
150034;Água Azul do Norte
150040;Alenquer
150050;Almeirim
150060;Altamira
150070;Anajás
150080;Ananindeua
150085;Anapu
150090;Augusto Corrêa
150095;Aurora do Pará
150100;Aveiro
150110;Bagre
150120;Baião
150125;Bannach
150130;Barcarena
150140;Belém
150145;Belterra
150150;Benevides
150157;Bom Jesus do Tocantins
150160;Bonito
150170;Bragança
150172;Brasil Novo
150175;Brejo Grande do Araguaia
150178;Breu Branco
150180;Breves
150190;Bujaru
150200;Cachoeira do Arari
150195;Cachoeira do Piriá
150210;Cametá
150215;Canaã dos Carajás
150220;Capanema
150230;Capitão Poço
150240;Castanhal
150250;Chaves
150260;Colares
150270;Conceição do Araguaia
150275;Concórdia do Pará
150276;Cumaru do Norte
150277;Curionópolis
150280;Curralinho
150285;Curuá
150290;Curuçá
150293;Dom Eliseu
150295;Eldorado dos Carajás
150300;Faro
150304;Floresta do Araguaia
150307;Garrafão do Norte
150309;Goianésia do Pará
150310;Gurupá
150320;Igarapé-Açu
150330;Igarapé-Miri
150340;Inhangapi
150345;Ipixuna do Pará
150350;Irituia
150360;Itaituba
150370;Itupiranga
150375;Jacareacanga
150380;Jacundá
150390;Juruti
150400;Limoeiro do Ajuru
150405;Mãe do Rio
150410;Magalhães Barata
150420;Marabá
150430;Maracanã
150440;Marapanim
150442;Marituba
150445;Medicilândia
150450;Melgaço
150460;Mocajuba
150470;Moju
150475;Mojuí dos Campos
150480;Monte Alegre
150490;Muaná
150495;Nova Esperança do Piriá
150497;Nova Ipixuna
150500;Nova Timboteua
150503;Novo Progresso
150506;Novo Repartimento
150510;Óbidos
150520;Oeiras do Pará
150530;Oriximiná
150540;Ourém
150543;Ourilândia do Norte
150548;Pacajá
150549;Palestina do Pará
150550;Paragominas
150553;Parauapebas
150555;Pau D'Arco
150560;Peixe-Boi
150563;Piçarra
150565;Placas
150570;Ponta de Pedras
150580;Portel
150590;Porto de Moz
150600;Prainha
150610;Primavera
150611;Quatipuru
150613;Redenção
150616;Rio Maria
150618;Rondon do Pará
150619;Rurópolis
150620;Salinópolis
150630;Salvaterra
150635;Santa Bárbara do Pará
150640;Santa Cruz do Arari
150650;Santa Isabel do Pará
150655;Santa Luzia do Pará
150658;Santa Maria das Barreiras
150660;Santa Maria do Pará
150670;Santana do Araguaia
150680;Santarém
150690;Santarém Novo
150700;Santo Antônio do Tauá
150710;São Caetano de Odivelas
150715;São Domingos do Araguaia
150720;São Domingos do Capim
150730;São Félix do Xingu
150740;São Francisco do Pará
150745;São Geraldo do Araguaia
150746;São João da Ponta
150747;São João de Pirabas
150750;São João do Araguaia
150760;São Miguel do Guamá
150770;São Sebastião da Boa Vista
150775;Sapucaia
150780;Senador José Porfírio
150790;Soure
150795;Tailândia
150796;Terra Alta
150797;Terra Santa
150800;Tomé-Açu
150803;Tracuateua
150805;Trairão
150808;Tucumã
150810;Tucuruí
150812;Ulianópolis
150815;Uruará
150820;Vigia
150830;Viseu
150835;Vitória do Xingu
150840;Xinguara
