cod_cidade;cidade
170025;Abreulândia
170030;Aguiarnópolis
170035;Aliança do Tocantins
170040;Almas
170070;Alvorada
170100;Ananás
170105;Angico
170110;Aparecida do Rio Negro
170130;Aragominas
170190;Araguacema
170200;Araguaçu
170210;Araguaína
170215;Araguanã
170220;Araguatins
170230;Arapoema
170240;Arraias
170255;Augustinópolis
170270;Aurora do Tocantins
170290;Axixá do Tocantins
170300;Babaçulândia
170305;Bandeirantes do Tocantins
170307;Barra do Ouro
170310;Barrolândia
170320;Bernardo Sayão
170330;Bom Jesus do Tocantins
170360;Brasilândia do Tocantins
170370;Brejinho de Nazaré
170380;Buriti do Tocantins
170382;Cachoeirinha
170384;Campos Lindos
170386;Cariri do Tocantins
170388;Carmolândia
170389;Carrasco Bonito
170390;Caseara
170410;Centenário
170510;Chapada da Natividade
170460;Chapada de Areia
170550;Colinas do Tocantins
171670;Colméia
170555;Combinado
170560;Conceição do Tocantins
170600;Couto Magalhães
170610;Cristalândia
170625;Crixás do Tocantins
170650;Darcinópolis
170700;Dianópolis
170710;Divinópolis do Tocantins
170720;Dois Irmãos do Tocantins
170730;Dueré
170740;Esperantina
170755;Fátima
170765;Figueirópolis
170770;Filadélfia
170820;Formoso do Araguaia
170825;Fortaleza do Tabocão
170830;Goianorte
170900;Goiatins
170930;Guaraí
170950;Gurupi
170980;Ipueiras
171050;Itacajá
171070;Itaguatins
171090;Itapiratins
171110;Itaporã do Tocantins
171150;Jaú do Tocantins
171180;Juarina
171190;Lagoa da Confusão
171195;Lagoa do Tocantins
171200;Lajeado
171215;Lavandeira
171240;Lizarda
171245;Luzinópolis
171250;Marianópolis do Tocantins
171270;Mateiros
171280;Maurilândia do Tocantins
171320;Miracema do Tocantins
171330;Miranorte
171360;Monte do Carmo
171370;Monte Santo do Tocantins
171395;Muricilândia
171420;Natividade
171430;Nazaré
171488;Nova Olinda
171500;Nova Rosalândia
171510;Novo Acordo
171515;Novo Alegre
171525;Novo Jardim
171550;Oliveira de Fátima
172100;Palmas
171570;Palmeirante
171380;Palmeiras do Tocantins
171575;Palmeirópolis
171610;Paraíso do Tocantins
171620;Paranã
171630;Pau D'Arco
171650;Pedro Afonso
171660;Peixe
171665;Pequizeiro
171700;Pindorama do Tocantins
171720;Piraquê
171750;Pium
171780;Ponte Alta do Bom Jesus
171790;Ponte Alta do Tocantins
171800;Porto Alegre do Tocantins
171820;Porto Nacional
171830;Praia Norte
171840;Presidente Kennedy
171845;Pugmil
171850;Recursolândia
171855;Riachinho
171865;Rio da Conceição
171870;Rio dos Bois
171875;Rio Sono
171880;Sampaio
171884;Sandolândia
171886;Santa Fé do Araguaia
171888;Santa Maria do Tocantins
171889;Santa Rita do Tocantins
171890;Santa Rosa do Tocantins
171900;Santa Tereza do Tocantins
172000;Santa Terezinha do Tocantins
172010;São Bento do Tocantins
172015;São Félix do Tocantins
172020;São Miguel do Tocantins
172025;São Salvador do Tocantins
172030;São Sebastião do Tocantins
172049;São Valério
172065;Silvanópolis
172080;Sítio Novo do Tocantins
172085;Sucupira
172090;Taguatinga
172093;Taipas do Tocantins
172097;Talismã
172110;Tocantínia
172120;Tocantinópolis
172125;Tupirama
172130;Tupiratins
172208;Wanderlândia
172210;Xambioá
