cod_cidade;cidade
210005;Açailândia
210010;Afonso Cunha
210015;Água Doce do Maranhão
210020;Alcântara
210030;Aldeias Altas
210040;Altamira do Maranhão
210043;Alto Alegre do Maranhão
210047;Alto Alegre do Pindaré
210050;Alto Parnaíba
210055;Amapá do Maranhão
210060;Amarante do Maranhão
210070;Anajatuba
210080;Anapurus
210083;Apicum-Açu
210087;Araguanã
210090;Araioses
210095;Arame
210100;Arari
210110;Axixá
210120;Bacabal
210125;Bacabeira
210130;Bacuri
210135;Bacurituba
210140;Balsas
210150;Barão de Grajaú
210160;Barra do Corda
210170;Barreirinhas
210177;Bela Vista do Maranhão
210173;Belágua
210180;Benedito Leite
210190;Bequimão
210193;Bernardo do Mearim
210197;Boa Vista do Gurupi
210200;Bom Jardim
210203;Bom Jesus das Selvas
210207;Bom Lugar
210210;Brejo
210215;Brejo de Areia
210220;Buriti
210230;Buriti Bravo
210232;Buriticupu
210235;Buritirana
210237;Cachoeira Grande
210240;Cajapió
210250;Cajari
210255;Campestre do Maranhão
210260;Cândido Mendes
210270;Cantanhede
210275;Capinzal do Norte
210280;Carolina
210290;Carutapera
210300;Caxias
210310;Cedral
210312;Central do Maranhão
210315;Centro do Guilherme
210317;Centro Novo do Maranhão
210320;Chapadinha
210325;Cidelândia
210330;Codó
210340;Coelho Neto
210350;Colinas
210355;Conceição do Lago-Açu
210360;Coroatá
210370;Cururupu
210375;Davinópolis
210380;Dom Pedro
210390;Duque Bacelar
210400;Esperantinópolis
210405;Estreito
210407;Feira Nova do Maranhão
210408;Fernando Falcão
210409;Formosa da Serra Negra
210410;Fortaleza dos Nogueiras
210420;Fortuna
210430;Godofredo Viana
210440;Gonçalves Dias
210450;Governador Archer
210455;Governador Edison Lobão
210460;Governador Eugênio Barros
210462;Governador Luiz Rocha
210465;Governador Newton Bello
210467;Governador Nunes Freire
210470;Graça Aranha
210480;Grajaú
210490;Guimarães
210500;Humberto de Campos
210510;Icatu
210515;Igarapé do Meio
210520;Igarapé Grande
210530;Imperatriz
210535;Itaipava do Grajaú
210540;Itapecuru Mirim
210542;Itinga do Maranhão
210545;Jatobá
210547;Jenipapo dos Vieiras
210550;João Lisboa
210560;Joselândia
210565;Junco do Maranhão
210570;Lago da Pedra
210580;Lago do Junco
210594;Lago dos Rodrigues
210590;Lago Verde
210592;Lagoa do Mato
210596;Lagoa Grande do Maranhão
210598;Lajeado Novo
210600;Lima Campos
210610;Loreto
210620;Luís Domingues
210630;Magalhães de Almeida
210632;Maracaçumé
210635;Marajá do Sena
210637;Maranhãozinho
210640;Mata Roma
210650;Matinha
210660;Matões
210663;Matões do Norte
210667;Milagres do Maranhão
210670;Mirador
210675;Miranda do Norte
210680;Mirinzal
210690;Monção
210700;Montes Altos
210710;Morros
210720;Nina Rodrigues
210725;Nova Colinas
210730;Nova Iorque
210735;Nova Olinda do Maranhão
210740;Olho d'Água das Cunhãs
210745;Olinda Nova do Maranhão
210750;Paço do Lumiar
210760;Palmeirândia
210770;Paraibano
210780;Parnarama
210790;Passagem Franca
210800;Pastos Bons
210805;Paulino Neves
210810;Paulo Ramos
210820;Pedreiras
210825;Pedro do Rosário
210830;Penalva
210840;Peri Mirim
210845;Peritoró
210850;Pindaré-Mirim
210860;Pinheiro
210870;Pio XII
210880;Pirapemas
210890;Poção de Pedras
210900;Porto Franco
210905;Porto Rico do Maranhão
210910;Presidente Dutra
210920;Presidente Juscelino
210923;Presidente Médici
210927;Presidente Sarney
210930;Presidente Vargas
210940;Primeira Cruz
210945;Raposa
210950;Riachão
210955;Ribamar Fiquene
210960;Rosário
210970;Sambaíba
210975;Santa Filomena do Maranhão
210980;Santa Helena
210990;Santa Inês
211000;Santa Luzia
211003;Santa Luzia do Paruá
211010;Santa Quitéria do Maranhão
211020;Santa Rita
211023;Santana do Maranhão
211027;Santo Amaro do Maranhão
211030;Santo Antônio dos Lopes
211040;São Benedito do Rio Preto
211050;São Bento
211060;São Bernardo
211065;São Domingos do Azeitão
211070;São Domingos do Maranhão
211080;São Félix de Balsas
211085;São Francisco do Brejão
211090;São Francisco do Maranhão
211100;São João Batista
211102;São João do Carú
211105;São João do Paraíso
211107;São João do Soter
211110;São João dos Patos
211120;São José de Ribamar
211125;São José dos Basílios
211130;São Luís
211140;São Luís Gonzaga do Maranhão
211150;São Mateus do Maranhão
211153;São Pedro da Água Branca
211157;São Pedro dos Crentes
211160;São Raimundo das Mangabeiras
211163;São Raimundo do Doca Bezerra
211167;São Roberto
211170;São Vicente Ferrer
211172;Satubinha
211174;Senador Alexandre Costa
211176;Senador La Rocque
211178;Serrano do Maranhão
211180;Sítio Novo
211190;Sucupira do Norte
211195;Sucupira do Riachão
211200;Tasso Fragoso
211210;Timbiras
211220;Timon
211223;Trizidela do Vale
211227;Tufilândia
211230;Tuntum
211240;Turiaçu
211245;Turilândia
211250;Tutóia
211260;Urbano Santos
211270;Vargem Grande
211280;Viana
211285;Vila Nova dos Martírios
211290;Vitória do Mearim
211300;Vitorino Freire
211400;Zé Doca
