cod_cidade;cidade
220005;Acauã
220010;Agricolândia
220020;Água Branca
220025;Alagoinha do Piauí
220027;Alegrete do Piauí
220030;Alto Longá
220040;Altos
220045;Alvorada do Gurguéia
220050;Amarante
220060;Angical do Piauí
220070;Anísio de Abreu
220080;Antônio Almeida
220090;Aroazes
220095;Aroeiras do Itaim
220100;Arraial
220105;Assunção do Piauí
220110;Avelino Lopes
220115;Baixa Grande do Ribeiro
220117;Barra D'Alcântara
220120;Barras
220130;Barreiras do Piauí
220140;Barro Duro
220150;Batalha
220155;Bela Vista do Piauí
220157;Belém do Piauí
220160;Beneditinos
220170;Bertolínia
220173;Betânia do Piauí
220177;Boa Hora
220180;Bocaina
220190;Bom Jesus
220191;Bom Princípio do Piauí
220192;Bonfim do Piauí
220194;Boqueirão do Piauí
220196;Brasileira
220198;Brejo do Piauí
220200;Buriti dos Lopes
220202;Buriti dos Montes
220205;Cabeceiras do Piauí
220207;Cajazeiras do Piauí
220208;Cajueiro da Praia
220209;Caldeirão Grande do Piauí
220210;Campinas do Piauí
220211;Campo Alegre do Fidalgo
220213;Campo Grande do Piauí
220217;Campo Largo do Piauí
220220;Campo Maior
220225;Canavieira
220230;Canto do Buriti
220240;Capitão de Campos
220245;Capitão Gervásio Oliveira
220250;Caracol
220253;Caraúbas do Piauí
220255;Caridade do Piauí
220260;Castelo do Piauí
220265;Caxingó
220270;Cocal
220271;Cocal de Telha
220272;Cocal dos Alves
220273;Coivaras
220275;Colônia do Gurguéia
220277;Colônia do Piauí
220280;Conceição do Canindé
220285;Coronel José Dias
220290;Corrente
220300;Cristalândia do Piauí
220310;Cristino Castro
220320;Curimatá
220323;Currais
220327;Curral Novo do Piauí
220325;Curralinhos
220330;Demerval Lobão
220335;Dirceu Arcoverde
220340;Dom Expedito Lopes
220345;Dom Inocêncio
220342;Domingos Mourão
220350;Elesbão Veloso
220360;Eliseu Martins
220370;Esperantina
220375;Fartura do Piauí
220380;Flores do Piauí
220385;Floresta do Piauí
220390;Floriano
220400;Francinópolis
220410;Francisco Ayres
220415;Francisco Macedo
220420;Francisco Santos
220430;Fronteiras
220435;Geminiano
220440;Gilbués
220450;Guadalupe
220455;Guaribas
220460;Hugo Napoleão
220465;Ilha Grande
220470;Inhuma
220480;Ipiranga do Piauí
220490;Isaías Coelho
220500;Itainópolis
220510;Itaueira
220515;Jacobina do Piauí
220520;Jaicós
220525;Jardim do Mulato
220527;Jatobá do Piauí
220530;Jerumenha
220535;João Costa
220540;Joaquim Pires
220545;Joca Marques
220550;José de Freitas
220551;Juazeiro do Piauí
220552;Júlio Borges
220553;Jurema
220555;Lagoa Alegre
220557;Lagoa de São Francisco
220556;Lagoa do Barro do Piauí
220558;Lagoa do Piauí
220559;Lagoa do Sítio
220554;Lagoinha do Piauí
220560;Landri Sales
220570;Luís Correia
220580;Luzilândia
220585;Madeiro
220590;Manoel Emídio
220595;Marcolândia
220600;Marcos Parente
220605;Massapê do Piauí
220610;Matias Olímpio
220620;Miguel Alves
220630;Miguel Leão
220635;Milton Brandão
220640;Monsenhor Gil
220650;Monsenhor Hipólito
220660;Monte Alegre do Piauí
220665;Morro Cabeça no Tempo
220667;Morro do Chapéu do Piauí
220669;Murici dos Portelas
220670;Nazaré do Piauí
220672;Nazária
220675;Nossa Senhora de Nazaré
220680;Nossa Senhora dos Remédios
220795;Nova Santa Rita
220690;Novo Oriente do Piauí
220695;Novo Santo Antônio
220700;Oeiras
220710;Olho D'Água do Piauí
220720;Padre Marcos
220730;Paes Landim
220735;Pajeú do Piauí
220740;Palmeira do Piauí
220750;Palmeirais
220755;Paquetá
220760;Parnaguá
220770;Parnaíba
220775;Passagem Franca do Piauí
220777;Patos do Piauí
220779;Pau D'Arco do Piauí
220780;Paulistana
220785;Pavussu
220790;Pedro II
220793;Pedro Laurentino
220800;Picos
220810;Pimenteiras
220820;Pio IX
220830;Piracuruca
220840;Piripiri
220850;Porto
220855;Porto Alegre do Piauí
220860;Prata do Piauí
220865;Queimada Nova
220870;Redenção do Gurguéia
220880;Regeneração
220885;Riacho Frio
220887;Ribeira do Piauí
220890;Ribeiro Gonçalves
220900;Rio Grande do Piauí
220910;Santa Cruz do Piauí
220915;Santa Cruz dos Milagres
220920;Santa Filomena
220930;Santa Luz
220937;Santa Rosa do Piauí
220935;Santana do Piauí
220940;Santo Antônio de Lisboa
220945;Santo Antônio dos Milagres
220950;Santo Inácio do Piauí
220955;São Braz do Piauí
220960;São Félix do Piauí
220965;São Francisco de Assis do Piauí
220970;São Francisco do Piauí
220975;São Gonçalo do Gurguéia
220980;São Gonçalo do Piauí
220985;São João da Canabrava
220987;São João da Fronteira
220990;São João da Serra
220995;São João da Varjota
220997;São João do Arraial
221000;São João do Piauí
221005;São José do Divino
221010;São José do Peixe
221020;São José do Piauí
221030;São Julião
221035;São Lourenço do Piauí
221037;São Luis do Piauí
221038;São Miguel da Baixa Grande
221039;São Miguel do Fidalgo
221040;São Miguel do Tapuio
221050;São Pedro do Piauí
221060;São Raimundo Nonato
221062;Sebastião Barros
221063;Sebastião Leal
221065;Sigefredo Pacheco
221070;Simões
221080;Simplício Mendes
221090;Socorro do Piauí
221093;Sussuapara
221095;Tamboril do Piauí
221097;Tanque do Piauí
221100;Teresina
221110;União
221120;Uruçuí
221130;Valença do Piauí
221135;Várzea Branca
221140;Várzea Grande
221150;Vera Mendes
221160;Vila Nova do Piauí
221170;Wall Ferraz
