cod_cidade;cidade
230010;Abaiara
230015;Acarape
230020;Acaraú
230030;Acopiara
230040;Aiuaba
230050;Alcântaras
230060;Altaneira
230070;Alto Santo
230075;Amontada
230080;Antonina do Norte
230090;Apuiarés
230100;Aquiraz
230110;Aracati
230120;Aracoiaba
230125;Ararendá
230130;Araripe
230140;Aratuba
230150;Arneiroz
230160;Assaré
230170;Aurora
230180;Baixio
230185;Banabuiú
230190;Barbalha
230195;Barreira
230200;Barro
230205;Barroquinha
230210;Baturité
230220;Beberibe
230230;Bela Cruz
230240;Boa Viagem
230250;Brejo Santo
230260;Camocim
230270;Campos Sales
230280;Canindé
230290;Capistrano
230300;Caridade
230310;Cariré
230320;Caririaçu
230330;Cariús
230340;Carnaubal
230350;Cascavel
230360;Catarina
230365;Catunda
230370;Caucaia
230380;Cedro
230390;Chaval
230393;Choró
230395;Chorozinho
230400;Coreaú
230410;Crateús
230420;Crato
230423;Croatá
230425;Cruz
230426;Deputado Irapuan Pinheiro
230427;Ererê
230428;Eusébio
230430;Farias Brito
230435;Forquilha
230440;Fortaleza
230445;Fortim
230450;Frecheirinha
230460;General Sampaio
230465;Graça
230470;Granja
230480;Granjeiro
230490;Groaíras
230495;Guaiúba
230500;Guaraciaba do Norte
230510;Guaramiranga
230520;Hidrolândia
230523;Horizonte
230526;Ibaretama
230530;Ibiapina
230533;Ibicuitinga
230535;Icapuí
230540;Icó
230550;Iguatu
230560;Independência
230565;Ipaporanga
230570;Ipaumirim
230580;Ipu
230590;Ipueiras
230600;Iracema
230610;Irauçuba
230620;Itaiçaba
230625;Itaitinga
230630;Itapagé
230640;Itapipoca
230650;Itapiúna
230655;Itarema
230660;Itatira
230670;Jaguaretama
230680;Jaguaribara
230690;Jaguaribe
230700;Jaguaruana
230710;Jardim
230720;Jati
230725;Jijoca de Jericoacoara
230730;Juazeiro do Norte
230740;Jucás
230750;Lavras da Mangabeira
230760;Limoeiro do Norte
230763;Madalena
230765;Maracanaú
230770;Maranguape
230780;Marco
230790;Martinópole
230800;Massapê
230810;Mauriti
230820;Meruoca
230830;Milagres
230835;Milhã
230837;Miraíma
230840;Missão Velha
230850;Mombaça
230860;Monsenhor Tabosa
230870;Morada Nova
230880;Moraújo
230890;Morrinhos
230900;Mucambo
230910;Mulungu
230920;Nova Olinda
230930;Nova Russas
230940;Novo Oriente
230945;Ocara
230950;Orós
230960;Pacajus
230970;Pacatuba
230980;Pacoti
230990;Pacujá
231000;Palhano
231010;Palmácia
231020;Paracuru
231025;Paraipaba
231030;Parambu
231040;Paramoti
231050;Pedra Branca
231060;Penaforte
231070;Pentecoste
231080;Pereiro
231085;Pindoretama
231090;Piquet Carneiro
231095;Pires Ferreira
231100;Poranga
231110;Porteiras
231120;Potengi
231123;Potiretama
231126;Quiterianópolis
231130;Quixadá
231135;Quixelô
231140;Quixeramobim
231150;Quixeré
231160;Redenção
231170;Reriutaba
231180;Russas
231190;Saboeiro
231195;Salitre
231220;Santa Quitéria
231200;Santana do Acaraú
231210;Santana do Cariri
231230;São Benedito
231240;São Gonçalo do Amarante
231250;São João do Jaguaribe
231260;São Luís do Curu
231270;Senador Pompeu
231280;Senador Sá
231290;Sobral
231300;Solonópole
231310;Tabuleiro do Norte
231320;Tamboril
231325;Tarrafas
231330;Tauá
231335;Tejuçuoca
231340;Tianguá
231350;Trairi
231355;Tururu
231360;Ubajara
231370;Umari
231375;Umirim
231380;Uruburetama
231390;Uruoca
231395;Varjota
231400;Várzea Alegre
231410;Viçosa do Ceará
