cod_cidade;cidade
240010;Acari
240020;Açu
240030;Afonso Bezerra
240040;Água Nova
240050;Alexandria
240060;Almino Afonso
240070;Alto do Rodrigues
240080;Angicos
240090;Antônio Martins
240100;Apodi
240110;Areia Branca
240120;Arês
240130;Augusto Severo
240140;Baía Formosa
240145;Baraúna
240150;Barcelona
240160;Bento Fernandes
240165;Bodó
240170;Bom Jesus
240180;Brejinho
240185;Caiçara do Norte
240190;Caiçara do Rio do Vento
240200;Caicó
240210;Campo Redondo
240220;Canguaretama
240230;Caraúbas
240240;Carnaúba dos Dantas
240250;Carnaubais
240260;Ceará-Mirim
240270;Cerro Corá
240280;Coronel Ezequiel
240290;Coronel João Pessoa
240300;Cruzeta
240310;Currais Novos
240320;Doutor Severiano
240330;Encanto
240340;Equador
240350;Espírito Santo
240360;Extremoz
240370;Felipe Guerra
240375;Fernando Pedroza
240380;Florânia
240390;Francisco Dantas
240400;Frutuoso Gomes
240410;Galinhos
240420;Goianinha
240430;Governador Dix-Sept Rosado
240440;Grossos
240450;Guamaré
240460;Ielmo Marinho
240470;Ipanguaçu
240480;Ipueira
240485;Itajá
240490;Itaú
240500;Jaçanã
240510;Jandaíra
240520;Janduís
240530;Januário Cicco
240540;Japi
240550;Jardim de Angicos
240560;Jardim de Piranhas
240570;Jardim do Seridó
240580;João Câmara
240590;João Dias
240600;José da Penha
240610;Jucurutu
240615;Jundiá
240620;Lagoa d'Anta
240630;Lagoa de Pedras
240640;Lagoa de Velhos
240650;Lagoa Nova
240660;Lagoa Salgada
240670;Lajes
240680;Lajes Pintadas
240690;Lucrécia
240700;Luís Gomes
240710;Macaíba
240720;Macau
240725;Major Sales
240730;Marcelino Vieira
240740;Martins
240750;Maxaranguape
240760;Messias Targino
240770;Montanhas
240780;Monte Alegre
240790;Monte das Gameleiras
240800;Mossoró
240810;Natal
240820;Nísia Floresta
240830;Nova Cruz
240840;Olho-d'Água do Borges
240850;Ouro Branco
240860;Paraná
240870;Paraú
240880;Parazinho
240890;Parelhas
240325;Parnamirim
240910;Passa e Fica
240920;Passagem
240930;Patu
240940;Pau dos Ferros
240950;Pedra Grande
240960;Pedra Preta
240970;Pedro Avelino
240980;Pedro Velho
240990;Pendências
241000;Pilões
241010;Poço Branco
241020;Portalegre
241025;Porto do Mangue
241030;Presidente Juscelino
241040;Pureza
241050;Rafael Fernandes
241060;Rafael Godeiro
241070;Riacho da Cruz
241080;Riacho de Santana
241090;Riachuelo
240895;Rio do Fogo
241100;Rodolfo Fernandes
241110;Ruy Barbosa
241120;Santa Cruz
240933;Santa Maria
241140;Santana do Matos
241142;Santana do Seridó
241150;Santo Antônio
241160;São Bento do Norte
241170;São Bento do Trairí
241180;São Fernando
241190;São Francisco do Oeste
241200;São Gonçalo do Amarante
241210;São João do Sabugi
241220;São José de Mipibu
241230;São José do Campestre
241240;São José do Seridó
241250;São Miguel
241255;São Miguel do Gostoso
241260;São Paulo do Potengi
241270;São Pedro
241280;São Rafael
241290;São Tomé
241300;São Vicente
241310;Senador Elói de Souza
241320;Senador Georgino Avelino
241330;Serra de São Bento
241335;Serra do Mel
241340;Serra Negra do Norte
241350;Serrinha
241355;Serrinha dos Pintos
241360;Severiano Melo
241370;Sítio Novo
241380;Taboleiro Grande
241390;Taipu
241400;Tangará
241410;Tenente Ananias
241415;Tenente Laurentino Cruz
241105;Tibau
241420;Tibau do Sul
241430;Timbaúba dos Batistas
241440;Touros
241445;Triunfo Potiguar
241450;Umarizal
241460;Upanema
241470;Várzea
241475;Venha-Ver
241480;Vera Cruz
241490;Viçosa
241500;Vila Flor
