cod_cidade;cidade
250010;Água Branca
250020;Aguiar
250030;Alagoa Grande
250040;Alagoa Nova
250050;Alagoinha
250053;Alcantil
250057;Algodão de Jandaíra
250060;Alhandra
250073;Amparo
250077;Aparecida
250080;Araçagi
250090;Arara
250100;Araruna
250110;Areia
250115;Areia de Baraúnas
250120;Areial
250130;Aroeiras
250135;Assunção
250140;Baía da Traição
250150;Bananeiras
250153;Baraúna
250160;Barra de Santa Rosa
250157;Barra de Santana
250170;Barra de São Miguel
250180;Bayeux
250190;Belém
250200;Belém do Brejo do Cruz
250205;Bernardino Batista
250210;Boa Ventura
250215;Boa Vista
250220;Bom Jesus
250230;Bom Sucesso
250240;Bonito de Santa Fé
250250;Boqueirão
250270;Borborema
250280;Brejo do Cruz
250290;Brejo dos Santos
250300;Caaporã
250310;Cabaceiras
250320;Cabedelo
250330;Cachoeira dos Índios
250340;Cacimba de Areia
250350;Cacimba de Dentro
250355;Cacimbas
250360;Caiçara
250370;Cajazeiras
250375;Cajazeirinhas
250380;Caldas Brandão
250390;Camalaú
250400;Campina Grande
250403;Capim
250407;Caraúbas
250410;Carrapateira
250415;Casserengue
250420;Catingueira
250430;Catolé do Rocha
250435;Caturité
250440;Conceição
250450;Condado
250460;Conde
250470;Congo
250480;Coremas
250485;Coxixola
250490;Cruz do Espírito Santo
250500;Cubati
250510;Cuité
250523;Cuité de Mamanguape
250520;Cuitegi
250527;Curral de Cima
250530;Curral Velho
250535;Damião
250540;Desterro
250560;Diamante
250570;Dona Inês
250580;Duas Estradas
250590;Emas
250600;Esperança
250610;Fagundes
250620;Frei Martinho
250625;Gado Bravo
250630;Guarabira
250640;Gurinhém
250650;Gurjão
250660;Ibiara
250260;Igaracy
250670;Imaculada
250680;Ingá
250690;Itabaiana
250700;Itaporanga
250710;Itapororoca
250720;Itatuba
250730;Jacaraú
250740;Jericó
250750;João Pessoa
251365;Joca Claudino
250760;Juarez Távora
250770;Juazeirinho
250780;Junco do Seridó
250790;Juripiranga
250800;Juru
250810;Lagoa
250820;Lagoa de Dentro
250830;Lagoa Seca
250840;Lastro
250850;Livramento
250855;Logradouro
250860;Lucena
250870;Mãe d'Água
250880;Malta
250890;Mamanguape
250900;Manaíra
250905;Marcação
250910;Mari
250915;Marizópolis
250920;Massaranduba
250930;Mataraca
250933;Matinhas
250937;Mato Grosso
250939;Maturéia
250940;Mogeiro
250950;Montadas
250960;Monte Horebe
250970;Monteiro
250980;Mulungu
250990;Natuba
251000;Nazarezinho
251010;Nova Floresta
251020;Nova Olinda
251030;Nova Palmeira
251040;Olho d'Água
251050;Olivedos
251060;Ouro Velho
251065;Parari
251070;Passagem
251080;Patos
251090;Paulista
251100;Pedra Branca
251110;Pedra Lavrada
251120;Pedras de Fogo
251272;Pedro Régis
251130;Piancó
251140;Picuí
251150;Pilar
251160;Pilões
251170;Pilõezinhos
251180;Pirpirituba
251190;Pitimbu
251200;Pocinhos
251203;Poço Dantas
251207;Poço de José de Moura
251210;Pombal
251220;Prata
251230;Princesa Isabel
251240;Puxinanã
251250;Queimadas
251260;Quixabá
251270;Remígio
251274;Riachão
251275;Riachão do Bacamarte
251276;Riachão do Poço
251278;Riacho de Santo Antônio
251280;Riacho dos Cavalos
251290;Rio Tinto
251300;Salgadinho
251310;Salgado de São Félix
251315;Santa Cecília
251320;Santa Cruz
251330;Santa Helena
251335;Santa Inês
251340;Santa Luzia
251370;Santa Rita
251380;Santa Teresinha
251350;Santana de Mangueira
251360;Santana dos Garrotes
251385;Santo André
251392;São Bentinho
251390;São Bento
251396;São Domingos de Pombal
251394;São Domingos do Cariri
251398;São Francisco
251400;São João do Cariri
250070;São João do Rio do Peixe
251410;São João do Tigre
251420;São José da Lagoa Tapada
251430;São José de Caiana
251440;São José de Espinharas
251450;São José de Piranhas
251455;São José de Princesa
251460;São José do Bonfim
251465;São José do Brejo do Cruz
251470;São José do Sabugi
251480;São José dos Cordeiros
251445;São José dos Ramos
251490;São Mamede
251500;São Miguel de Taipu
251510;São Sebastião de Lagoa de Roça
251520;São Sebastião do Umbuzeiro
251540;São Vicente do Seridó
251530;Sapé
251550;Serra Branca
251560;Serra da Raiz
251570;Serra Grande
251580;Serra Redonda
251590;Serraria
251593;Sertãozinho
251597;Sobrado
251600;Solânea
251610;Soledade
251615;Sossêgo
251620;Sousa
251630;Sumé
251640;Tacima
251650;Taperoá
251660;Tavares
251670;Teixeira
251675;Tenório
251680;Triunfo
251690;Uiraúna
251700;Umbuzeiro
251710;Várzea
251720;Vieirópolis
250550;Vista Serrana
251740;Zabelê
