cod_cidade;cidade
270010;Água Branca
270020;Anadia
270030;Arapiraca
270040;Atalaia
270050;Barra de Santo Antônio
270060;Barra de São Miguel
270070;Batalha
270080;Belém
270090;Belo Monte
270100;Boca da Mata
270110;Branquinha
270120;Cacimbinhas
270130;Cajueiro
270135;Campestre
270140;Campo Alegre
270150;Campo Grande
270160;Canapi
270170;Capela
270180;Carneiros
270190;Chã Preta
270200;Coité do Nóia
270210;Colônia Leopoldina
270220;Coqueiro Seco
270230;Coruripe
270235;Craíbas
270240;Delmiro Gouveia
270250;Dois Riachos
270255;Estrela de Alagoas
270260;Feira Grande
270270;Feliz Deserto
270280;Flexeiras
270290;Girau do Ponciano
270300;Ibateguara
270310;Igaci
270320;Igreja Nova
270330;Inhapi
270340;Jacaré dos Homens
270350;Jacuípe
270360;Japaratinga
270370;Jaramataia
270375;Jequiá da Praia
270380;Joaquim Gomes
270390;Jundiá
270400;Junqueiro
270410;Lagoa da Canoa
270420;Limoeiro de Anadia
270430;Maceió
270440;Major Isidoro
270490;Mar Vermelho
270450;Maragogi
270460;Maravilha
270470;Marechal Deodoro
270480;Maribondo
270500;Mata Grande
270510;Matriz de Camaragibe
270520;Messias
270530;Minador do Negrão
270540;Monteirópolis
270550;Murici
270560;Novo Lino
270570;Olho d'Água das Flores
270580;Olho d'Água do Casado
270590;Olho d'Água Grande
270600;Olivença
270610;Ouro Branco
270620;Palestina
270630;Palmeira dos Índios
270640;Pão de Açúcar
270642;Pariconha
270644;Paripueira
270650;Passo de Camaragibe
270660;Paulo Jacinto
270670;Penedo
270680;Piaçabuçu
270690;Pilar
270700;Pindoba
270710;Piranhas
270720;Poço das Trincheiras
270730;Porto Calvo
270740;Porto de Pedras
270750;Porto Real do Colégio
270760;Quebrangulo
270770;Rio Largo
270780;Roteiro
270790;Santa Luzia do Norte
270800;Santana do Ipanema
270810;Santana do Mundaú
270820;São Brás
270830;São José da Laje
270840;São José da Tapera
270850;São Luís do Quitunde
270860;São Miguel dos Campos
270870;São Miguel dos Milagres
270880;São Sebastião
270890;Satuba
270895;Senador Rui Palmeira
270900;Tanque d'Arca
270910;Taquarana
270915;Teotônio Vilela
270920;Traipu
270930;União dos Palmares
270940;Viçosa
