cod_cidade;cidade
310010;Abadia dos Dourados
310020;Abaeté
310030;Abre Campo
310040;Acaiaca
310050;Açucena
310060;Água Boa
310070;Água Comprida
310080;Aguanil
310090;Águas Formosas
310100;Águas Vermelhas
310110;Aimorés
310120;Aiuruoca
310130;Alagoa
310140;Albertina
310150;Além Paraíba
310160;Alfenas
310163;Alfredo Vasconcelos
310170;Almenara
310180;Alpercata
310190;Alpinópolis
310200;Alterosa
310205;Alto Caparaó
315350;Alto Jequitibá
310210;Alto Rio Doce
310220;Alvarenga
310230;Alvinópolis
310240;Alvorada de Minas
310250;Amparo do Serra
310260;Andradas
310280;Andrelândia
310285;Angelândia
310290;Antônio Carlos
310300;Antônio Dias
310310;Antônio Prado de Minas
310320;Araçaí
310330;Aracitaba
310340;Araçuaí
310350;Araguari
310360;Arantina
310370;Araponga
310375;Araporã
310380;Arapuá
310390;Araújos
310400;Araxá
310410;Arceburgo
310420;Arcos
310430;Areado
310440;Argirita
310445;Aricanduva
310450;Arinos
310460;Astolfo Dutra
310470;Ataléia
310480;Augusto de Lima
310490;Baependi
310500;Baldim
310510;Bambuí
310520;Bandeira
310530;Bandeira do Sul
310540;Barão de Cocais
310550;Barão de Monte Alto
310560;Barbacena
310570;Barra Longa
310590;Barroso
310600;Bela Vista de Minas
310610;Belmiro Braga
310620;Belo Horizonte
310630;Belo Oriente
310640;Belo Vale
310650;Berilo
310665;Berizal
310660;Bertópolis
310670;Betim
310680;Bias Fortes
310690;Bicas
310700;Biquinhas
310710;Boa Esperança
310720;Bocaina de Minas
310730;Bocaiúva
310740;Bom Despacho
310750;Bom Jardim de Minas
310760;Bom Jesus da Penha
310770;Bom Jesus do Amparo
310780;Bom Jesus do Galho
310790;Bom Repouso
310800;Bom Sucesso
310810;Bonfim
310820;Bonfinópolis de Minas
310825;Bonito de Minas
310830;Borda da Mata
310840;Botelhos
310850;Botumirim
310870;Brás Pires
310855;Brasilândia de Minas
310860;Brasília de Minas
310880;Braúnas
310890;Brazópolis
310900;Brumadinho
310910;Bueno Brandão
310920;Buenópolis
310925;Bugre
310930;Buritis
310940;Buritizeiro
310945;Cabeceira Grande
310950;Cabo Verde
310960;Cachoeira da Prata
310970;Cachoeira de Minas
310270;Cachoeira de Pajeú
310980;Cachoeira Dourada
310990;Caetanópolis
311000;Caeté
311010;Caiana
311020;Cajuri
