cod_cidade;cidade
320010;Afonso Cláudio
320016;Água Doce do Norte
320013;Águia Branca
320020;Alegre
320030;Alfredo Chaves
320035;Alto Rio Novo
320040;Anchieta
320050;Apiacá
320060;Aracruz
320070;Atilio Vivacqua
320080;Baixo Guandu
320090;Barra de São Francisco
320100;Boa Esperança
320110;Bom Jesus do Norte
320115;Brejetuba
320120;Cachoeiro de Itapemirim
320130;Cariacica
320140;Castelo
320150;Colatina
320160;Conceição da Barra
320170;Conceição do Castelo
320180;Divino de São Lourenço
320190;Domingos Martins
320200;Dores do Rio Preto
320210;Ecoporanga
320220;Fundão
320225;Governador Lindenberg
320230;Guaçuí
320240;Guarapari
320245;Ibatiba
320250;Ibiraçu
320255;Ibitirama
320260;Iconha
320265;Irupi
320270;Itaguaçu
320280;Itapemirim
320290;Itarana
320300;Iúna
320305;Jaguaré
320310;Jerônimo Monteiro
320313;João Neiva
320316;Laranja da Terra
320320;Linhares
320330;Mantenópolis
320332;Marataízes
320334;Marechal Floriano
320335;Marilândia
320340;Mimoso do Sul
320350;Montanha
320360;Mucurici
320370;Muniz Freire
320380;Muqui
320390;Nova Venécia
320400;Pancas
320405;Pedro Canário
320410;Pinheiros
320420;Piúma
320425;Ponto Belo
320430;Presidente Kennedy
320435;Rio Bananal
320440;Rio Novo do Sul
320450;Santa Leopoldina
320455;Santa Maria de Jetibá
320460;Santa Teresa
320465;São Domingos do Norte
320470;São Gabriel da Palha
320480;São José do Calçado
320490;São Mateus
320495;São Roque do Canaã
320500;Serra
320501;Sooretama
320503;Vargem Alta
320506;Venda Nova do Imigrante
320510;Viana
320515;Vila Pavão
320517;Vila Valério
320520;Vila Velha
320530;Vitória
