cod_cidade;cidade
330010;Angra dos Reis
330015;Aperibé
330020;Araruama
330022;Areal
330023;Armação dos Búzios
330025;Arraial do Cabo
330030;Barra do Piraí
330040;Barra Mansa
330045;Belford Roxo
330050;Bom Jardim
330060;Bom Jesus do Itabapoana
330070;Cabo Frio
330080;Cachoeiras de Macacu
330090;Cambuci
330100;Campos dos Goytacazes
330110;Cantagalo
330093;Carapebus
330115;Cardoso Moreira
330120;Carmo
330130;Casimiro de Abreu
330095;Comendador Levy Gasparian
330140;Conceição de Macabu
330150;Cordeiro
330160;Duas Barras
330170;Duque de Caxias
330180;Engenheiro Paulo de Frontin
330185;Guapimirim
330187;Iguaba Grande
330190;Itaboraí
330200;Itaguaí
330205;Italva
330210;Itaocara
330220;Itaperuna
330225;Itatiaia
330227;Japeri
330230;Laje do Muriaé
330240;Macaé
330245;Macuco
330250;Magé
330260;Mangaratiba
330270;Maricá
330280;Mendes
330285;Mesquita
330290;Miguel Pereira
330300;Miracema
330310;Natividade
330320;Nilópolis
330330;Niterói
330340;Nova Friburgo
330350;Nova Iguaçu
330360;Paracambi
330370;Paraíba do Sul
330380;Paraty
330385;Paty do Alferes
330390;Petrópolis
330395;Pinheiral
330400;Piraí
330410;Porciúncula
330411;Porto Real
330412;Quatis
330414;Queimados
330415;Quissamã
330420;Resende
330430;Rio Bonito
330440;Rio Claro
330450;Rio das Flores
330452;Rio das Ostras
330455;Rio de Janeiro
330460;Santa Maria Madalena
330470;Santo Antônio de Pádua
330480;São Fidélis
330475;São Francisco de Itabapoana
330490;São Gonçalo
330500;São João da Barra
330510;São João de Meriti
330513;São José de Ubá
330515;São José do Vale do Rio Preto
330520;São Pedro da Aldeia
330530;São Sebastião do Alto
330540;Sapucaia
330550;Saquarema
330555;Seropédica
330560;Silva Jardim
330570;Sumidouro
330575;Tanguá
330580;Teresópolis
330590;Trajano de Moraes
330600;Três Rios
330610;Valença
330615;Varre-Sai
330620;Vassouras
330630;Volta Redonda
