cod_cidade;cidade
420005;Abdon Batista
420010;Abelardo Luz
420020;Agrolândia
420030;Agronômica
420040;Água Doce
420050;Águas de Chapecó
420055;Águas Frias
420060;Águas Mornas
420070;Alfredo Wagner
420075;Alto Bela Vista
420080;Anchieta
420090;Angelina
420100;Anita Garibaldi
420110;Anitápolis
420120;Antônio Carlos
420125;Apiúna
420127;Arabutã
420130;Araquari
420140;Araranguá
420150;Armazém
420160;Arroio Trinta
420165;Arvoredo
420170;Ascurra
420180;Atalanta
420190;Aurora
420195;Balneário Arroio do Silva
420205;Balneário Barra do Sul
420200;Balneário Camboriú
420207;Balneário Gaivota
421280;Balneário Piçarras
422000;Balneário Rincão
420208;Bandeirante
420209;Barra Bonita
420210;Barra Velha
420213;Bela Vista do Toldo
420215;Belmonte
420220;Benedito Novo
420230;Biguaçu
420240;Blumenau
420243;Bocaina do Sul
420250;Bom Jardim da Serra
420253;Bom Jesus
420257;Bom Jesus do Oeste
420260;Bom Retiro
420245;Bombinhas
420270;Botuverá
420280;Braço do Norte
420285;Braço do Trombudo
420287;Brunópolis
420290;Brusque
420300;Caçador
420310;Caibi
420315;Calmon
420320;Camboriú
420330;Campo Alegre
420340;Campo Belo do Sul
420350;Campo Erê
420360;Campos Novos
420370;Canelinha
420380;Canoinhas
420325;Capão Alto
420390;Capinzal
420395;Capivari de Baixo
420400;Catanduvas
420410;Caxambu do Sul
420415;Celso Ramos
420417;Cerro Negro
420419;Chapadão do Lageado
420420;Chapecó
420425;Cocal do Sul
420430;Concórdia
420435;Cordilheira Alta
420440;Coronel Freitas
420445;Coronel Martins
420455;Correia Pinto
420450;Corupá
420460;Criciúma
420470;Cunha Porã
420475;Cunhataí
420480;Curitibanos
420490;Descanso
420500;Dionísio Cerqueira
420510;Dona Emma
420515;Doutor Pedrinho
420517;Entre Rios
420519;Ermo
420520;Erval Velho
420530;Faxinal dos Guedes
420535;Flor do Sertão
420540;Florianópolis
420543;Formosa do Sul
420545;Forquilhinha
420550;Fraiburgo
420555;Frei Rogério
420560;Galvão
420570;Garopaba
420580;Garuva
420590;Gaspar
420600;Governador Celso Ramos
420610;Grão Pará
420620;Gravatal
420630;Guabiruba
420640;Guaraciaba
420650;Guaramirim
420660;Guarujá do Sul
420665;Guatambú
420670;Herval d'Oeste
420675;Ibiam
420680;Ibicaré
420690;Ibirama
420700;Içara
420710;Ilhota
420720;Imaruí
420730;Imbituba
420740;Imbuia
420750;Indaial
420757;Iomerê
420760;Ipira
420765;Iporã do Oeste
420768;Ipuaçu
420770;Ipumirim
420775;Iraceminha
420780;Irani
420785;Irati
420790;Irineópolis
420800;Itá
420810;Itaiópolis
420820;Itajaí
420830;Itapema
420840;Itapiranga
420845;Itapoá
420850;Ituporanga
420860;Jaborá
420870;Jacinto Machado
420880;Jaguaruna
420890;Jaraguá do Sul
420895;Jardinópolis
420900;Joaçaba
420910;Joinville
420915;José Boiteux
420917;Jupiá
420920;Lacerdópolis
420930;Lages
420940;Laguna
420945;Lajeado Grande
420950;Laurentino
420960;Lauro Muller
420970;Lebon Régis
420980;Leoberto Leal
420985;Lindóia do Sul
420990;Lontras
421000;Luiz Alves
421003;Luzerna
421005;Macieira
421010;Mafra
421020;Major Gercino
421030;Major Vieira
421040;Maracajá
421050;Maravilha
421055;Marema
421060;Massaranduba
421070;Matos Costa
421080;Meleiro
421085;Mirim Doce
421090;Modelo
421100;Mondaí
421105;Monte Carlo
421110;Monte Castelo
421120;Morro da Fumaça
421125;Morro Grande
421130;Navegantes
421140;Nova Erechim
421145;Nova Itaberaba
421150;Nova Trento
421160;Nova Veneza
421165;Novo Horizonte
421170;Orleans
421175;Otacílio Costa
421180;Ouro
421185;Ouro Verde
421187;Paial
421189;Painel
421190;Palhoça
421200;Palma Sola
421205;Palmeira
421210;Palmitos
421220;Papanduva
421223;Paraíso
421225;Passo de Torres
421227;Passos Maia
421230;Paulo Lopes
421240;Pedras Grandes
421250;Penha
421260;Peritiba
421265;Pescaria Brava
421270;Petrolândia
421290;Pinhalzinho
421300;Pinheiro Preto
421310;Piratuba
421315;Planalto Alegre
421320;Pomerode
421330;Ponte Alta
421335;Ponte Alta do Norte
421340;Ponte Serrada
421350;Porto Belo
421360;Porto União
421370;Pouso Redondo
421380;Praia Grande
421390;Presidente Castello Branco
421400;Presidente Getúlio
421410;Presidente Nereu
421415;Princesa
421420;Quilombo
421430;Rancho Queimado
421440;Rio das Antas
421450;Rio do Campo
421460;Rio do Oeste
421480;Rio do Sul
421470;Rio dos Cedros
421490;Rio Fortuna
421500;Rio Negrinho
421505;Rio Rufino
421507;Riqueza
421510;Rodeio
421520;Romelândia
421530;Salete
421535;Saltinho
421540;Salto Veloso
421545;Sangão
421550;Santa Cecília
421555;Santa Helena
421560;Santa Rosa de Lima
421565;Santa Rosa do Sul
421567;Santa Terezinha
421568;Santa Terezinha do Progresso
421569;Santiago do Sul
421570;Santo Amaro da Imperatriz
421580;São Bento do Sul
421575;São Bernardino
421590;São Bonifácio
421600;São Carlos
421605;São Cristovão do Sul
421610;São Domingos
421620;São Francisco do Sul
421630;São João Batista
421635;São João do Itaperiú
421625;São João do Oeste
421640;São João do Sul
421650;São Joaquim
421660;São José
421670;São José do Cedro
421680;São José do Cerrito
421690;São Lourenço do Oeste
421700;São Ludgero
421710;São Martinho
421715;São Miguel da Boa Vista
421720;São Miguel do Oeste
421725;São Pedro de Alcântara
421730;Saudades
421740;Schroeder
421750;Seara
421755;Serra Alta
421760;Siderópolis
421770;Sombrio
421775;Sul Brasil
421780;Taió
421790;Tangará
421795;Tigrinhos
421800;Tijucas
421810;Timbé do Sul
421820;Timbó
421825;Timbó Grande
421830;Três Barras
421835;Treviso
421840;Treze de Maio
421850;Treze Tílias
421860;Trombudo Central
421870;Tubarão
421875;Tunápolis
421880;Turvo
421885;União do Oeste
421890;Urubici
421895;Urupema
421900;Urussanga
421910;Vargeão
421915;Vargem
421917;Vargem Bonita
421920;Vidal Ramos
421930;Videira
421935;Vitor Meireles
421940;Witmarsum
421950;Xanxerê
421960;Xavantina
421970;Xaxim
421985;Zortéa
