cod_cidade;cidade
500020;Água Clara
500025;Alcinópolis
500060;Amambaí
500070;Anastácio
500080;Anaurilândia
500085;Angélica
500090;Antônio João
500100;Aparecida do Taboado
500110;Aquidauana
500124;Aral Moreira
500150;Bandeirantes
500190;Bataguassu
500200;Batayporã
500210;Bela Vista
500215;Bodoquena
500220;Bonito
500230;Brasilândia
500240;Caarapó
500260;Camapuã
500270;Campo Grande
500280;Caracol
500290;Cassilândia
500295;Chapadão do Sul
500310;Corguinho
500315;Coronel Sapucaia
500320;Corumbá
500325;Costa Rica
500330;Coxim
500345;Deodápolis
500348;Dois Irmãos do Buriti
500350;Douradina
500370;Dourados
500375;Eldorado
500380;Fátima do Sul
500390;Figueirão
500400;Glória de Dourados
500410;Guia Lopes da Laguna
500430;Iguatemi
500440;Inocência
500450;Itaporã
500460;Itaquiraí
500470;Ivinhema
500480;Japorã
500490;Jaraguari
500500;Jardim
500510;Jateí
500515;Juti
500520;Ladário
500525;Laguna Carapã
500540;Maracaju
500560;Miranda
500568;Mundo Novo
500570;Naviraí
500580;Nioaque
500600;Nova Alvorada do Sul
500620;Nova Andradina
500625;Novo Horizonte do Sul
500627;Paraíso das Águas
500630;Paranaíba
500635;Paranhos
500640;Pedro Gomes
500660;Ponta Porã
500690;Porto Murtinho
500710;Ribas do Rio Pardo
500720;Rio Brilhante
500730;Rio Negro
500740;Rio Verde de Mato Grosso
500750;Rochedo
500755;Santa Rita do Pardo
500769;São Gabriel do Oeste
500780;Selvíria
500770;Sete Quedas
500790;Sidrolândia
500793;Sonora
500795;Tacuru
500797;Taquarussu
500800;Terenos
500830;Três Lagoas
500840;Vicentina
