cod_cidade;cidade
510010;Acorizal
510020;Água Boa
510025;Alta Floresta
510030;Alto Araguaia
510035;Alto Boa Vista
510040;Alto Garças
510050;Alto Paraguai
510060;Alto Taquari
510080;Apiacás
510100;Araguaiana
510120;Araguainha
510125;Araputanga
510130;Arenápolis
510140;Aripuanã
510160;Barão de Melgaço
510170;Barra do Bugres
510180;Barra do Garças
510185;Bom Jesus do Araguaia
510190;Brasnorte
510250;Cáceres
510260;Campinápolis
510263;Campo Novo do Parecis
510267;Campo Verde
510268;Campos de Júlio
510269;Canabrava do Norte
510270;Canarana
510279;Carlinda
510285;Castanheira
510300;Chapada dos Guimarães
510305;Cláudia
510310;Cocalinho
510320;Colíder
510325;Colniza
510330;Comodoro
510335;Confresa
510336;Conquista D'Oeste
510337;Cotriguaçu
510340;Cuiabá
510343;Curvelândia
510345;Denise
510350;Diamantino
510360;Dom Aquino
510370;Feliz Natal
510380;Figueirópolis D'Oeste
510385;Gaúcha do Norte
510390;General Carneiro
510395;Glória D'Oeste
510410;Guarantã do Norte
510420;Guiratinga
510450;Indiavaí
510452;Ipiranga do Norte
510454;Itanhangá
510455;Itaúba
510460;Itiquira
510480;Jaciara
510490;Jangada
510500;Jauru
510510;Juara
510515;Juína
510517;Juruena
510520;Juscimeira
510523;Lambari D'Oeste
510525;Lucas do Rio Verde
510530;Luciára
510558;Marcelândia
510560;Matupá
510562;Mirassol d'Oeste
510590;Nobres
510600;Nortelândia
510610;Nossa Senhora do Livramento
510615;Nova Bandeirantes
510620;Nova Brasilândia
510621;Nova Canaã do Norte
510880;Nova Guarita
510618;Nova Lacerda
510885;Nova Marilândia
510890;Nova Maringá
510895;Nova Monte Verde
510622;Nova Mutum
510617;Nova Nazaré
510623;Nova Olímpia
510619;Nova Santa Helena
510624;Nova Ubiratã
510625;Nova Xavantina
510627;Novo Horizonte do Norte
510626;Novo Mundo
510631;Novo Santo Antônio
510628;Novo São Joaquim
510629;Paranaíta
510630;Paranatinga
510637;Pedra Preta
510642;Peixoto de Azevedo
510645;Planalto da Serra
510650;Poconé
510665;Pontal do Araguaia
510670;Ponte Branca
510675;Pontes e Lacerda
510677;Porto Alegre do Norte
510680;Porto dos Gaúchos
510682;Porto Esperidião
510685;Porto Estrela
510700;Poxoréo
510704;Primavera do Leste
510706;Querência
510715;Reserva do Cabaçal
510718;Ribeirão Cascalheira
510719;Ribeirãozinho
510720;Rio Branco
510757;Rondolândia
510760;Rondonópolis
510770;Rosário Oeste
510775;Salto do Céu
510724;Santa Carmem
510774;Santa Cruz do Xingu
510776;Santa Rita do Trivelato
510777;Santa Terezinha
510726;Santo Afonso
510779;Santo Antônio do Leste
510780;Santo Antônio do Leverger
510785;São Félix do Araguaia
510729;São José do Povo
510730;São José do Rio Claro
510735;São José do Xingu
510710;São José dos Quatro Marcos
510740;São Pedro da Cipa
510787;Sapezal
510788;Serra Nova Dourada
510790;Sinop
510792;Sorriso
510794;Tabaporã
510795;Tangará da Serra
510800;Tapurah
510805;Terra Nova do Norte
510810;Tesouro
510820;Torixoréu
510830;União do Sul
510835;Vale de São Domingos
510840;Várzea Grande
510850;Vera
510550;Vila Bela da Santíssima Trindade
510860;Vila Rica
