cod_cidade;cidade
520005;Abadia de Goiás
520010;Abadiânia
520013;Acreúna
520015;Adelândia
520017;Água Fria de Goiás
520020;Água Limpa
520025;Águas Lindas de Goiás
520030;Alexânia
520050;Aloândia
520055;Alto Horizonte
520060;Alto Paraíso de Goiás
520080;Alvorada do Norte
520082;Amaralina
520085;Americano do Brasil
520090;Amorinópolis
520110;Anápolis
520120;Anhanguera
520130;Anicuns
520140;Aparecida de Goiânia
520145;Aparecida do Rio Doce
520150;Aporé
520160;Araçu
520170;Aragarças
520180;Aragoiânia
520215;Araguapaz
520235;Arenópolis
520250;Aruanã
520260;Aurilândia
520280;Avelinópolis
520310;Baliza
520320;Barro Alto
520330;Bela Vista de Goiás
520340;Bom Jardim de Goiás
520350;Bom Jesus de Goiás
520355;Bonfinópolis
520357;Bonópolis
520360;Brazabrantes
520380;Britânia
520390;Buriti Alegre
520393;Buriti de Goiás
520396;Buritinópolis
520400;Cabeceiras
520410;Cachoeira Alta
520420;Cachoeira de Goiás
520425;Cachoeira Dourada
520430;Caçu
520440;Caiapônia
520450;Caldas Novas
520455;Caldazinha
520460;Campestre de Goiás
520465;Campinaçu
520470;Campinorte
520480;Campo Alegre de Goiás
520485;Campo Limpo de Goiás
520490;Campos Belos
520495;Campos Verdes
520500;Carmo do Rio Verde
520505;Castelândia
520510;Catalão
520520;Caturaí
520530;Cavalcante
520540;Ceres
520545;Cezarina
520547;Chapadão do Céu
520549;Cidade Ocidental
520551;Cocalzinho de Goiás
520552;Colinas do Sul
520570;Córrego do Ouro
520580;Corumbá de Goiás
520590;Corumbaíba
520620;Cristalina
520630;Cristianópolis
520640;Crixás
520650;Cromínia
520660;Cumari
520670;Damianópolis
520680;Damolândia
520690;Davinópolis
520710;Diorama
520830;Divinópolis de Goiás
520725;Doverlândia
520735;Edealina
520740;Edéia
520750;Estrela do Norte
520753;Faina
520760;Fazenda Nova
520780;Firminópolis
520790;Flores de Goiás
520800;Formosa
520810;Formoso
520815;Gameleira de Goiás
520840;Goianápolis
520850;Goiandira
520860;Goianésia
520870;Goiânia
520880;Goianira
520890;Goiás
520910;Goiatuba
520915;Gouvelândia
520920;Guapó
520929;Guaraíta
520940;Guarani de Goiás
520945;Guarinos
520960;Heitoraí
520970;Hidrolândia
520980;Hidrolina
520990;Iaciara
520993;Inaciolândia
520995;Indiara
521000;Inhumas
521010;Ipameri
521015;Ipiranga de Goiás
521020;Iporá
521030;Israelândia
521040;Itaberaí
521056;Itaguari
521060;Itaguaru
521080;Itajá
521090;Itapaci
521100;Itapirapuã
521120;Itapuranga
521130;Itarumã
521140;Itauçu
521150;Itumbiara
521160;Ivolândia
521170;Jandaia
521180;Jaraguá
521190;Jataí
521200;Jaupaci
521205;Jesúpolis
521210;Joviânia
521220;Jussara
521225;Lagoa Santa
521230;Leopoldo de Bulhões
521250;Luziânia
521260;Mairipotaba
521270;Mambaí
521280;Mara Rosa
521290;Marzagão
521295;Matrinchã
521300;Maurilândia
521305;Mimoso de Goiás
521308;Minaçu
521310;Mineiros
521340;Moiporá
521350;Monte Alegre de Goiás
521370;Montes Claros de Goiás
521375;Montividiu
521377;Montividiu do Norte
521380;Morrinhos
521385;Morro Agudo de Goiás
521390;Mossâmedes
521400;Mozarlândia
521405;Mundo Novo
521410;Mutunópolis
521440;Nazário
521450;Nerópolis
521460;Niquelândia
521470;Nova América
521480;Nova Aurora
521483;Nova Crixás
521486;Nova Glória
521487;Nova Iguaçu de Goiás
521490;Nova Roma
521500;Nova Veneza
521520;Novo Brasil
521523;Novo Gama
521525;Novo Planalto
521530;Orizona
521540;Ouro Verde de Goiás
521550;Ouvidor
521560;Padre Bernardo
521565;Palestina de Goiás
521570;Palmeiras de Goiás
521580;Palmelo
521590;Palminópolis
521600;Panamá
521630;Paranaiguara
521640;Paraúna
521645;Perolândia
521680;Petrolina de Goiás
521690;Pilar de Goiás
521710;Piracanjuba
521720;Piranhas
521730;Pirenópolis
521740;Pires do Rio
521760;Planaltina
521770;Pontalina
521800;Porangatu
521805;Porteirão
521810;Portelândia
521830;Posse
521839;Professor Jamil
521850;Quirinópolis
521860;Rialma
521870;Rianápolis
521878;Rio Quente
521880;Rio Verde
521890;Rubiataba
521900;Sanclerlândia
521910;Santa Bárbara de Goiás
521920;Santa Cruz de Goiás
521925;Santa Fé de Goiás
521930;Santa Helena de Goiás
521935;Santa Isabel
521940;Santa Rita do Araguaia
521945;Santa Rita do Novo Destino
521950;Santa Rosa de Goiás
521960;Santa Tereza de Goiás
521970;Santa Terezinha de Goiás
521971;Santo Antônio da Barra
521973;Santo Antônio de Goiás
521975;Santo Antônio do Descoberto
521980;São Domingos
521990;São Francisco de Goiás
522005;São João da Paraúna
522000;São João d'Aliança
522010;São Luís de Montes Belos
522015;São Luíz do Norte
522020;São Miguel do Araguaia
522026;São Miguel do Passa Quatro
522028;São Patrício
522040;São Simão
522045;Senador Canedo
522050;Serranópolis
522060;Silvânia
522068;Simolândia
522070;Sítio d'Abadia
522100;Taquaral de Goiás
522108;Teresina de Goiás
522119;Terezópolis de Goiás
522130;Três Ranchos
522140;Trindade
522145;Trombas
522150;Turvânia
522155;Turvelândia
522157;Uirapuru
522160;Uruaçu
522170;Uruana
522180;Urutaí
522185;Valparaíso de Goiás
522190;Varjão
522200;Vianópolis
522205;Vicentinópolis
522220;Vila Boa
522230;Vila Propício
